Associated Dates,Spend,Revenue,Visits,Impressions,Clicks,Conversions,Pageviews,Unique Visitors,UPO,Campaign Category,Ad Group,Ad Name,Last Touch Channel,Size,Color,Device,Subchannel,Campaign Name,Retail Tier,Retail Campaign Type,Video Spend,Video Impressions,Link Clicks,Engagements,Video Views,Video Completions
8/10/2020,237.5033292,621.41,1597,49878,23,0,4233,1353,1.3,General,Women's Clothing,Hooded Sweatshirt,Other,L,Blue,Tablet,other,,,,0,0,0,0,0,0
8/10/2020,896.2819911,2306.1,895,11735,509,87.4079604,1874,775,2.9,General,Outerwear,Beanie Hat,Social Media,M,Yellow,Desktop,paidsocial-branding,,,,0,0,0,0,0,0
8/10/2020,1,3.14,1129,0,784,0,2563,932,1.4,General,Outerwear,Beanie Hat,Video,L,Blue,Tablet,video-branding,,,,199.7722616,1,160,1,1313,1
8/10/2020,14.41417476,41.7,2416,52611,1,0,10823,1994,1.5,General,Women's Clothing,Men's Jacket,Social Media,XXL,Red,Tablet,paidsocial-prospecting,,,,0,0,0,0,0,0
8/10/2020,103.1182954,356.07,1313,41847,1,396.3915058,3750,1218,2.6,General,Men's Clothing,Beanie Hat,Social Media,S,Red,Mobile,paidsocial-branding,,,,0,0,0,0,0,0
8/10/2020,1,2.91,1816,0,1095,0,7450,1792,2.5,General,Men's Clothing,Denim Jeans,Email,XXL,Red,Tablet,affiliates,,,,0,0,0,0,0,0
8/10/2020,1142.209774,2305.5,2167,66928,1,138.038017,5900,2114,1.9,General,Men's Clothing,Beanie Hat,Paid Search,XL,Blue,Tablet,paidsearch-pmax,,,,0,0,0,0,0,0
8/10/2020,1,1.79,859,0,17,0,3769,826,1.3,General,Accessories,Workwear Pants,Other,XL,Blue,Mobile,other,,,,0,0,0,0,0,0
8/10/2020,1,2.51,1406,147284,756,43.30015414,6976,1194,1.2,General,Outerwear,Hooded Sweatshirt,Email,XXL,Black,Mobile,affiliates,,,,0,0,0,0,0,0
8/10/2020,258.7177281,507,2092,15,1,97.18900024,10597,1699,1.5,General,Men's Clothing,Denim Jeans,Video,XXL,Blue,Desktop,video-prospecting,,,,1,104784,252,1,1,1124
8/10/2020,34.94233698,76.27,2085,0,1,0,6359,1830,2.4,General,Men's Clothing,Workwear Pants,Video,M,Black,Mobile,video-branding,,,,1,1,1,1,743,669
8/10/2020,47.5258175,115.84,2266,60872,993,291.7626646,5785,2202,1.2,General,Outerwear,Beanie Hat,Social Media,L,White,Mobile,paidsocial-retargeting,,,,0,0,0,0,0,0
8/10/2020,1,2.74,655,0,1013,343.0235361,2899,609,2.8,General,Outerwear,Women's Boots,Email,XL,Green,Mobile,affiliates,,,,0,0,0,0,0,0
8/10/2020,1,2.08,1928,22678,1,0,5428,1574,1.8,General,Accessories,Men's Jacket,Paid Search,M,Yellow,Desktop,paidsearch-nonbrand,,,,0,0,0,0,0,0
8/10/2020,22.08647282,57.27,2338,0,1,331.4440878,13523,2253,2.5,General,Men's Clothing,Men's Jacket,Display,XXL,Black,Desktop,display-retargeting,,,,0,0,0,0,0,0
8/10/2020,137.2038003,381.49,1252,34464,1,44.31420017,3431,1139,2.2,General,Men's Clothing,Denim Jeans,Paid Search,XXL,White,Desktop,paidsearch-brand,,,,0,0,0,0,0,0
8/10/2020,1419.317053,4432.7,1200,89143,148,0,3257,1089,2.8,General,Outerwear,Beanie Hat,Email,XXL,White,Desktop,affiliates,,,,0,0,0,0,0,0
8/10/2020,1,3.24,729,0,1,0,2268,604,1.1,General,Outerwear,Women's Boots,Display,XXL,White,Mobile,display-prospecting,,,,0,0,0,0,0,0
8/10/2020,1,3.06,2449,0,1,234.5425595,6092,2443,2.7,General,Women's Clothing,Beanie Hat,Other,XXL,Yellow,Desktop,other,,,,0,0,0,0,0,0
8/10/2020,498.766409,1549.11,2298,0,1097,118.8811549,8305,1944,1,General,Accessories,Women's Boots,Email,S,Black,Mobile,affiliates,,,,0,0,0,0,0,0
8/10/2020,1,2.06,2406,97082,1,206.0315955,14230,1974,2.4,General,Men's Clothing,Denim Jeans,Social Media,M,White,Tablet,paidsocial-branding,,,,0,0,0,0,0,0
8/10/2020,903.8324707,3116.56,1068,0,1532,0,3720,871,1.5,General,Outerwear,Hooded Sweatshirt,Other,S,Black,Mobile,other,,,,0,0,0,0,0,0
8/10/2020,307.6454434,790.91,549,52359,1197,0,2289,536,2.7,General,Outerwear,Hooded Sweatshirt,Other,S,Red,Mobile,other,,,,0,0,0,0,0,0
8/10/2020,491.583709,1447.62,979,0,984,0,5736,910,2.8,General,Men's Clothing,Women's Boots,Social Media,L,Black,Mobile,paidsocial-retargeting,,,,0,0,0,0,0,0
8/10/2020,635.4904413,1079.78,620,0,1,25.62605664,2605,521,1.9,General,Accessories,Beanie Hat,Other,S,White,Tablet,other,,,,0,0,0,0,0,0
8/10/2020,1,1.71,1984,0,1,84.89790476,7856,1734,2.7,General,Men's Clothing,Beanie Hat,Paid Search,M,Green,Desktop,paidsearch-pmax,,,,0,0,0,0,0,0
8/10/2020,1,1.56,1741,126471,1,75.47852521,5050,1520,1.8,General,Accessories,Beanie Hat,Display,XXL,Green,Desktop,display-retargeting,,,,0,0,0,0,0,0
8/11/2020,1,2.57,1060,9945,540,0,6095,991,2.6,General,Women's Clothing,Men's Jacket,Video,L,Yellow,Tablet,video-prospecting,,,,208.3517522,1,5,1,1,494
8/11/2020,60.49850206,207.49,2005,81903,542,311.0672553,8071,1885,2.9,General,Women's Clothing,Women's Boots,Display,XL,Blue,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/11/2020,125.0925356,426.79,1365,24432,498,0,5023,1138,1.9,General,Women's Clothing,Beanie Hat,Paid Search,M,Green,Tablet,paidsearch-retail,,,,0,0,0,0,0,0
8/11/2020,360.7094753,1176.17,2047,57247,1203,172.1393153,10506,1927,2.1,General,Women's Clothing,Workwear Pants,Display,XL,Yellow,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/11/2020,465.288868,1141.76,1988,7370,1,172.2843231,10636,1906,3,General,Outerwear,Women's Boots,Email,M,White,Mobile,affiliates,,,,0,0,0,0,0,0
8/11/2020,1,2.62,2396,20747,761,199.2009943,10670,2162,2.5,General,Accessories,Workwear Pants,Social Media,L,Black,Tablet,paidsocial-prospecting,,,,0,0,0,0,0,0
8/11/2020,1,1.81,889,37994,479,0,4791,818,2.4,General,Men's Clothing,Hooded Sweatshirt,Paid Search,S,Yellow,Mobile,paidsearch-brand,,,,0,0,0,0,0,0
8/11/2020,28.83310993,55.37,1499,0,886,265.6213559,7992,1493,2.2,General,Outerwear,Men's Jacket,Email,XXL,White,Tablet,affiliates,,,,0,0,0,0,0,0
8/11/2020,393.6922121,733.35,991,0,509,231.526114,3827,952,2.4,General,Accessories,Workwear Pants,Social Media,L,White,Tablet,paidsocial-branding,,,,0,0,0,0,0,0
8/11/2020,1,3.41,2194,0,321,370.7316381,5576,2085,2.4,General,Accessories,Denim Jeans,Video,XL,Green,Desktop,video-prospecting,,,,1,3768,396,1,1,121
8/11/2020,1455.518196,3868.73,1396,0,258,0,5027,1192,2.5,General,Women's Clothing,Beanie Hat,Other,L,Blue,Mobile,other,,,,0,0,0,0,0,0
8/12/2020,197.8773011,313.03,2412,82466,709,0,7054,2008,1.3,General,Women's Clothing,Workwear Pants,Other,XXL,White,Desktop,other,,,,0,0,0,0,0,0
8/12/2020,1,3.4,1712,0,469,0,8207,1555,2.9,General,Outerwear,Hooded Sweatshirt,Social Media,M,Yellow,Desktop,paidsocial-prospecting,,,,0,0,0,0,0,0
8/12/2020,1,2.92,1870,29630,1246,0,5116,1857,2.4,General,Outerwear,Women's Boots,Display,M,Yellow,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/12/2020,1,2.42,1158,0,817,154.4032473,3557,1150,2.8,General,Women's Clothing,Hooded Sweatshirt,Paid Search,XXL,Yellow,Mobile,paidsearch-local,,,,0,0,0,0,0,0
8/12/2020,1,3.47,1104,0,1,0,4192,960,2.5,General,Accessories,Denim Jeans,Social Media,XXL,White,Desktop,paidsocial-retargeting,,,,0,0,0,0,0,0
8/12/2020,1154.624201,2846.25,1735,0,1277,0,4119,1458,1.9,General,Women's Clothing,Hooded Sweatshirt,Paid Search,S,Blue,Tablet,paidsearch-shopping,,,,0,0,0,0,0,0
8/12/2020,1,2.41,639,56393,1,0,3307,550,2.4,General,Outerwear,Men's Jacket,Paid Search,XXL,Blue,Tablet,paidsearch-pmax,,,,0,0,0,0,0,0
8/12/2020,1,1.87,2158,0,1,0,7405,2051,1.8,General,Men's Clothing,Beanie Hat,Email,M,Red,Desktop,affiliates,,,,0,0,0,0,0,0
8/12/2020,1,1.91,1461,0,1,72.03422575,5738,1343,2.4,General,Men's Clothing,Men's Jacket,Email,L,Black,Tablet,affiliates,,,,0,0,0,0,0,0
8/13/2020,1,2.47,607,25110,900,0,2030,565,2.4,General,Men's Clothing,Workwear Pants,Email,M,Black,Mobile,affiliates,,,,0,0,0,0,0,0
8/13/2020,1,3.27,1760,0,1,0,4345,1494,2.2,General,Outerwear,Hooded Sweatshirt,Video,XXL,Black,Mobile,video-prospecting,,,,1,1208,559,695,1,1
8/13/2020,399.9966026,1075.99,2393,19694,1,79.00542706,8991,2085,1.7,General,Women's Clothing,Beanie Hat,Video,XXL,Blue,Mobile,video-branding,,,,71.64438616,101289,295,1,1,1122
8/13/2020,586.3088183,1008.37,2340,30506,494,674.9429209,6489,2048,2.5,General,Men's Clothing,Men's Jacket,Paid Search,L,Green,Desktop,paidsearch-brand,,,,0,0,0,0,0,0
8/13/2020,697.2347081,2409.31,1940,61247,1,0,9513,1759,2.8,General,Women's Clothing,Beanie Hat,Email,S,White,Tablet,affiliates,,,,0,0,0,0,0,0
8/14/2020,781.6564982,1321.43,995,0,400,500.7977635,5470,830,1.2,General,Outerwear,Hooded Sweatshirt,Video,XL,Blue,Mobile,video-branding,,,,437.0656738,68011,1,1,1,10
8/14/2020,461.4344323,1240.47,1135,33744,1591,0,6612,971,1.8,General,Accessories,Women's Boots,Social Media,XXL,White,Tablet,paidsocial-prospecting,,,,0,0,0,0,0,0
8/14/2020,687.2914455,1354.7,1488,0,1,222.4377193,7386,1405,1.4,General,Women's Clothing,Women's Boots,Video,S,Black,Mobile,video-branding,,,,1,1,71,1,798,611
8/14/2020,430.2091635,794.22,2075,20297,491,219.1518932,10239,1713,2.1,General,Accessories,Denim Jeans,Other,L,Yellow,Mobile,other,,,,0,0,0,0,0,0
8/14/2020,1,2.02,623,0,1209,0,2375,622,2.7,General,Outerwear,Workwear Pants,Paid Search,L,Red,Tablet,paidsearch-retail,,,,0,0,0,0,0,0
8/14/2020,1,2.81,613,12391,1,299.9872137,1992,492,2.7,General,Outerwear,Denim Jeans,Display,S,Yellow,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/14/2020,1,2.01,1464,89796,1,373.1107123,4029,1347,1.7,General,Men's Clothing,Beanie Hat,Email,S,Blue,Desktop,affiliates,,,,0,0,0,0,0,0
8/14/2020,1353.588301,3362.35,653,0,1,23.48658745,1361,579,2.2,General,Accessories,Men's Jacket,Paid Search,XL,Blue,Mobile,paidsearch-brand,,,,0,0,0,0,0,0
8/14/2020,423.2380017,1425.95,2127,51416,1132,0,8321,2017,2.6,General,Accessories,Beanie Hat,Display,XL,Red,Tablet,display-retargeting,,,,0,0,0,0,0,0
8/14/2020,323.3669995,652.84,1182,3042,831,0,6254,1093,2.5,General,Outerwear,Men's Jacket,Social Media,XL,Black,Mobile,paidsocial-retargeting,,,,0,0,0,0,0,0
8/14/2020,1,2.19,1279,0,668,0,6181,1218,1,General,Accessories,Women's Boots,Display,XXL,Yellow,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/14/2020,1,3.3,2096,57099,361,0,7746,1888,1.3,General,Accessories,Hooded Sweatshirt,Display,XL,Blue,Tablet,display-prospecting,,,,0,0,0,0,0,0
8/14/2020,847.545197,2767.18,1249,48717,100,0,2932,1070,1.9,General,Outerwear,Hooded Sweatshirt,Display,XL,White,Tablet,display-retargeting,,,,0,0,0,0,0,0
8/14/2020,133.5344484,291.77,2204,0,1,0,10931,2119,2.3,General,Men's Clothing,Denim Jeans,Paid Search,L,Black,Tablet,paidsearch-brand,,,,0,0,0,0,0,0
8/14/2020,755.4747387,1182.31,2401,25858,1,105.241342,9806,2214,1.5,General,Outerwear,Denim Jeans,Social Media,M,Green,Mobile,paidsocial-branding,,,,0,0,0,0,0,0
8/14/2020,1,2.49,2016,0,1,0,11764,1619,2.9,General,Outerwear,Men's Jacket,Social Media,M,Green,Tablet,paidsocial-branding,,,,0,0,0,0,0,0
8/14/2020,636.1570909,1340.26,2121,0,304,104.8755068,6609,2091,1.8,General,Outerwear,Workwear Pants,Paid Search,XXL,White,Mobile,paidsearch-shopping,,,,0,0,0,0,0,0
8/15/2020,1,2.55,952,0,549,0,2059,776,2.4,General,Women's Clothing,Men's Jacket,Display,M,Green,Mobile,display-retargeting,,,,0,0,0,0,0,0
8/15/2020,1,2.51,982,64067,714,0,2986,968,2.3,General,Outerwear,Women's Boots,Other,XL,White,Tablet,other,,,,0,0,0,0,0,0
8/15/2020,1,1.72,2196,15585,1,253.4674848,12762,2175,2.7,General,Women's Clothing,Denim Jeans,Email,S,White,Desktop,affiliates,,,,0,0,0,0,0,0
8/15/2020,484.0434141,1281.91,1041,24576,868,0,6002,949,2.5,General,Men's Clothing,Women's Boots,Other,S,White,Mobile,other,,,,0,0,0,0,0,0
8/15/2020,1,1.7,1782,0,1,401.9887895,8329,1628,2.8,General,Outerwear,Denim Jeans,Video,M,Black,Tablet,video-prospecting,,,,1076.911102,1,1,821,267,454
8/16/2020,1,2.28,900,0,367,0,5141,880,2.3,General,Outerwear,Denim Jeans,Video,L,White,Tablet,video-branding,,,,1,57567,151,1,528,1557
8/16/2020,1,3.07,803,0,1,0,3261,791,2,General,Women's Clothing,Women's Boots,Display,XXL,Red,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/16/2020,614.9620476,1231.09,962,0,1,0,3730,806,2,General,Accessories,Men's Jacket,Paid Search,XXL,Yellow,Mobile,paidsearch-retailpmax,,,,0,0,0,0,0,0
8/17/2020,418.732162,746.68,1523,59858,1819,0,6954,1297,2.6,General,Men's Clothing,Denim Jeans,Other,M,White,Tablet,other,,,,0,0,0,0,0,0
8/17/2020,1,3.07,1416,0,458,0,5012,1247,1.9,General,Men's Clothing,Women's Boots,Email,M,Green,Mobile,affiliates,,,,0,0,0,0,0,0
8/17/2020,1,3.29,769,5763,996,0,4294,617,2.9,General,Men's Clothing,Beanie Hat,Social Media,S,Yellow,Mobile,paidsocial-retargeting,,,,0,0,0,0,0,0
8/17/2020,1,2.54,1623,53524,1,0,8727,1490,2.4,General,Men's Clothing,Beanie Hat,Paid Search,XL,Yellow,Mobile,paidsearch-retailpmax,,,,0,0,0,0,0,0
8/17/2020,1,3.14,832,59136,1,0,1934,683,2.5,General,Outerwear,Workwear Pants,Video,M,Red,Mobile,video-prospecting,,,,1,1,987,1,1,737
8/17/2020,1,2.05,1838,41275,1,412.2671497,9106,1626,1.4,General,Men's Clothing,Beanie Hat,Video,XXL,White,Tablet,video-branding,,,,1,71845,443,817,270,1
8/17/2020,321.4981319,751.21,1936,12559,1,97.45425191,5439,1915,1.5,General,Women's Clothing,Denim Jeans,Social Media,XL,Yellow,Mobile,paidsocial-retargeting,,,,0,0,0,0,0,0
8/17/2020,1,3.33,1220,26788,652,305.723468,5844,1071,2.5,General,Accessories,Women's Boots,Email,XXL,Green,Desktop,affiliates,,,,0,0,0,0,0,0
8/17/2020,1,1.96,1186,0,1,0,2380,984,1.5,General,Outerwear,Beanie Hat,Email,XL,Blue,Desktop,affiliates,,,,0,0,0,0,0,0
8/18/2020,1,1.61,1603,0,500,0,6631,1494,1.7,General,Accessories,Beanie Hat,Paid Search,L,White,Desktop,paidsearch-nonbrand,,,,0,0,0,0,0,0
8/18/2020,129.8292592,265.25,944,0,1,27.68510205,1891,844,1.3,General,Men's Clothing,Workwear Pants,Paid Search,XXL,Blue,Desktop,paidsearch-local,,,,0,0,0,0,0,0
8/18/2020,320.3703801,630.81,825,66574,796,417.2217601,4908,755,2.2,General,Accessories,Workwear Pants,Email,XL,Green,Mobile,affiliates,,,,0,0,0,0,0,0
8/18/2020,120.9450945,277.88,2103,100847,1,0,4866,1803,1.2,General,Men's Clothing,Hooded Sweatshirt,Social Media,L,Yellow,Tablet,paidsocial-retargeting,,,,0,0,0,0,0,0
8/18/2020,1,3.15,2454,87775,1,0,8766,2088,1.3,General,Women's Clothing,Denim Jeans,Other,XL,Yellow,Tablet,other,,,,0,0,0,0,0,0
8/18/2020,1,1.81,2283,0,1,0,11985,2161,2,General,Men's Clothing,Men's Jacket,Video,L,Yellow,Tablet,video-prospecting,,,,1,18198,1160,1,1,204
8/18/2020,1,3.49,1827,0,1,279.2755147,3654,1510,2.8,General,Outerwear,Workwear Pants,Email,XL,Black,Mobile,affiliates,,,,0,0,0,0,0,0
8/18/2020,1,2.85,1195,0,1,0,3024,1042,1.9,General,Outerwear,Women's Boots,Email,XL,Blue,Tablet,affiliates,,,,0,0,0,0,0,0
8/18/2020,849.2672806,2770.71,1703,11421,1,205.9408803,4972,1393,1.3,General,Outerwear,Workwear Pants,Other,M,Yellow,Desktop,other,,,,0,0,0,0,0,0
8/19/2020,1,2.26,850,37013,1,238.9209899,3001,783,2.9,General,Men's Clothing,Denim Jeans,Paid Search,M,Yellow,Tablet,paidsearch-local,,,,0,0,0,0,0,0
